TrialCode,Year,yield,grain_size,grain_no,estimatedVPD,sw_stress,sw_supply,sw_demand
trial_926,2016,3.3508,0.037,8971.553,188.395,171.7849797,553.538,178.551
trial_927,2016,1.6051,0.025,6467.478,215.447,196.0,752.35,100.857
trial_928,2016,1.9958,0.031,6383.452,193.823,189.0,998.729,94.652
trial_929,2016,2.1076,0.039,5455.646,175.084,168.0,1314.988,100.61
trial_930,2016,4.132,0.041,10078.01,177.527,157.5484369,724.392,332.385
trial_931,2016,3.5751,0.041,8719.696,164.779,188.0,1069.85,180.611
trial_932,2016,3.3126,0.041,8079.544,161.536,159.7183633,702.131,257.638
trial_933,2016,1.5509,0.022,6926.229,195.138,194.7006545,519.356,100.11
trial_934,2016,3.5896,0.037,9650.508,192.465,181.9307427,796.29,207.314
trial_935,2016,2.6762,0.028,9420.227,206.64,173.4219757,379.65,170.84199999999998
trial_936,2016,4.1281,0.041,10068.56,179.936,175.6636197,901.841,389.745
trial_937,2016,2.9456,0.041,7184.369,175.77,149.0,697.943,161.788
trial_938,2016,4.4007,0.041,10733.42,181.559,147.1243856,608.564,394.521
trial_939,2016,3.2388,0.041,7899.481,160.239,209.0,1706.238,234.235
trial_940,2016,2.0314,0.04,5095.847,169.093,173.6886045,549.497,91.2
trial_941,2016,4.1136,0.041,10033.26,173.548,172.7460814,892.847,328.817
trial_942,2016,3.5386,0.041,8630.824,167.817,190.9104553,1319.418,323.367
trial_943,2016,3.3085,0.041,8069.479,155.694,164.0,1140.476,257.95
trial_944,2016,3.6784,0.039,9463.704,175.668,188.0,922.08,181.185
trial_945,2016,4.6265,0.041,11284.14,164.456,189.4095634,1003.686,342.06
trial_946,2016,0.9976,0.041,2433.166,184.528,174.0,590.652,46.451
trial_947,2016,1.9597,0.041,4779.659,151.216,173.0,883.659,80.29
trial_948,2016,4.9166,0.041,11991.71,190.023,187.5582848,743.207,294.07
trial_949,2016,2.7479,0.028,9734.396,194.283,165.4046739,373.941,169.065
trial_951,2016,4.1001,0.041,10000.26,180.427,194.0338542,1367.584,362.278
trial_952,2016,4.089,0.041,9973.231,183.876,152.5941172,649.515,335.889
trial_953,2016,1.8094,0.033,5523.293,197.981,196.0,1283.448,88.817
trial_954,2016,3.769,0.041,9192.604,167.972,193.0,1133.667,217.679
trial_955,2016,5.2628,0.041,12836.01,184.244,206.5938461,1041.454,314.135
trial_956,2016,4.804,0.041,11740.1,196.059,158.9513016,534.306,296.546
trial_957,2016,3.1968,0.041,7797.101,171.075,112.304606,452.841,286.025
trial_959,2016,4.4014,0.041,10735.15,149.099,183.5441327,887.281,303.904
trial_960,2016,4.1933,0.041,10227.6,184.293,196.5619278,1409.549,362.073
trial_961,2016,3.2071,0.041,7822.198,178.10999999999999,155.4156882,456.948,198.136
trial_962,2016,4.8422,0.041,11810.19,169.352,173.5729558,867.184,392.647
trial_964,2016,4.0961,0.041,9990.494,149.019,183.264565,932.134,275.707
trial_965,2016,2.4869,0.026,9543.679,189.317,195.2168713,800.602,146.349
trial_966,2016,4.3383,0.041,10581.27,188.207,151.2499128,636.979,358.313
trial_968,2016,4.3711,0.038,11456.78,195.956,186.4828776,796.265,238.658
trial_969,2016,3.9327,0.041,9591.849,143.025,187.3311478,912.945,264.406
trial_970,2016,4.3997,0.041,10730.99,175.75,167.6642499,1023.835,361.983
trial_971,2016,2.2081,0.041,5385.642,194.124,184.0,1004.884,102.008
trial_972,2016,3.9341,0.041,9595.478,178.285,143.525885,503.342,255.554
trial_973,2016,1.5949,0.022,7295.103,200.34,195.0,749.592,99.956
trial_974,2016,4.6598,0.041,11365.44,179.063,181.3447823,954.996,377.011
trial_975,2016,4.0543,0.041,9888.572,173.613,193.1998752,1006.649,333.76800000000003
trial_976,2016,3.4757,0.041,8477.362,181.682,189.0,1081.656,191.226
trial_977,2016,3.356,0.041,8185.283,162.196,207.5532628,1590.47,273.127
trial_978,2016,3.0551,0.041,7451.546,200.482,182.9661376,478.999,157.463
trial_979,2016,3.3682,0.032,10474.84,199.346,192.4396004,780.469,182.002
trial_980,2016,3.7441,0.041,9131.967,170.438,200.0252046,1423.094,312.582
trial_981,2016,3.8785,0.041,9459.69,172.905,191.0001084,1398.206,336.605
trial_982,2016,3.4689,0.033,10502.32,215.58,194.8233569,796.855,199.098
trial_984,2017,2.5724,0.032,8028.041,185.475,165.7946017,355.091,145.903
trial_985,2017,2.2816,0.028,8186.641,222.215,193.3555187,507.855,143.451
trial_986,2017,1.5945,0.025,6276.45,215.21,183.2965099,577.639,124.404
trial_987,2017,1.2758,0.031,4105.565,226.217,154.0,976.969,83.906
trial_988,2017,1.2547,0.033,3790.633,181.212,173.0,579.102,54.748
trial_989,2017,4.4454,0.04,11085.69,199.675,162.9387556,614.934,260.254
trial_990,2017,4.2677,0.035,12156.86,220.776,164.4940641,583.781,282.451
